district,Kode Wilayah,,,regency_code,code
Bansari,33,23,16,3323,332316
Bantaeng,73,03,02,7303,730302
Bantan,14,03,02,1403,140302
Bantaran,35,13,04,3513,351304
Bantarbolang,33,27,06,3327,332706
Bantargadung,32,02,04,3202,320204
Bantargebang (Bantar Gebang),32,75,07,3275,327507
Bantarkalong,32,06,08,3206,320608
Bantarkawung,33,29,02,3329,332902
Bantarsari,33,01,20,3301,330120
Bantarujeg,32,10,02,3210,321002
Bantimurung,73,09,03,7309,730903
Bantul,34,02,08,3402,340208
Bantur,35,07,03,3507,350703
Banua Lawas,63,09,01,6309,630901
Banua Lima,62,13,02,6213,621302
Banuhampu,13,06,06,1306,130606
Banyakan,35,06,22,3506,350622
Banyuanyar (Banyu Anyar),35,13,06,3513,351306
Banyuasin I,16,07,01,1607,160701
Banyuasin II,16,07,02,1607,160702
Banyuasin III,16,07,03,1607,160703
Banyuates,35,27,09,3527,352709
Banyubiru,33,22,07,3322,332207
Banyudono,33,09,09,3309,330909
Banyuglugur,35,12,16,3512,351216
Banyuke Hulu,61,08,12,6108,610812
Banyumanik,33,74,11,3374,337411
Banyumas,33,02,11,3302,330211
Banyumas,18,10,06,1810,181006
Banyuputih,35,12,14,3512,351214
Banyuputih,33,25,15,3325,332515
Banyuresmi,32,05,06,3205,320506
Banyusari,32,15,24,3215,321524
Banyuurip,33,06,07,3306,330607
Banyuwangi,35,10,16,3510,351016
Baolan,72,04,07,7204,720407
Bara,73,73,09,7373,737309
Barabai,63,07,06,6307,630706
Baradatu,18,08,04,1808,180804
Baraka,73,16,03,7316,731603
Barambai,63,04,14,6304,630414
Barangin,13,73,02,1373,137302
Barangka,74,13,02,7413,741302
Baranti,73,14,04,7314,731404
Baras,76,01,03,7601,760103
Barat,35,20,12,3520,352012
Barebbo,73,08,09,7308,730809
Baregbeg,32,07,32,3207,320732
Bareng,35,17,04,3517,351704
Barito Tuhup Raya,62,12,06,6212,621206
Baroko,73,16,12,7316,731612
Barombong,73,06,12,7306,730612
Baron,35,18,10,3518,351810
Barong Tongkok,64,07,07,6407,640707
Baros,36,04,22,3604,360422
Baros,32,72,05,3272,327205
Barru,73,11,03,7311,731103
Baruga,74,71,03,7471,747103
Barumun,12,21,07,1221,122107
Barumun Barat,12,21,16,1221,122116
Barumun Baru,12,21,13,1221,122113
Barumun Selatan,12,21,10,1221,122110
Barumun Tengah,12,21,02,1221,122102
Baruppu,73,26,14,7326,732614
Barus,12,01,01,1201,120101
Barus Utara,12,01,17,1201,120117
Barusjahe (Barus Jahe),12,06,03,1206,120603
Basa Ampek Balai Tapan,13,01,11,1301,130111
Basala,74,05,21,7405,740521
Basarang,62,03,08,6203,620308
Basidondo,72,04,04,7204,720404
Baso,13,06,08,1306,130608
Basse Sangtempe (Bassesang Tempe / Bastem),73,17,01,7317,731701
Basse Sangtempe Utara,73,17,22,7317,731722
Batabual,81,04,10,8104,810410
Bataguh,62,03,17,6203,620317
Batahan,12,13,15,1213,121315
Batalaiworu (Batalaiwaru),74,03,15,7403,740315
Batam Kota,21,71,10,2171,217110
Batang,33,25,11,3325,332511
Batang,73,04,04,7304,730404
Batang Alai Selatan,63,07,07,6307,630707
Batang Alai Timur,63,07,10,6307,630710
Batang Alai Utara,63,07,08,6307,630708
Batang Anai,13,05,02,1305,130502
Batang Angkola,12,03,07,1203,120307
Batang Asai,15,03,01,1503,150301
Batang Asam,15,06,07,1506,150607
Batang Batang,35,29,16,3529,352916
Batang Cenaku,14,02,07,1402,140207
Batang Gangsal (Batang Gansal),14,02,08,1402,140208
Batang Gasan,13,05,13,1305,130513
Batang Hari Leko,16,06,04,1606,160604
Batang Kapas,13,01,04,1301,130104
Batang Kawa,62,09,08,6209,620908
Batang Kuis,12,07,27,1207,120727
Batang Lubu Sutam,12,21,09,1221,122109
Batang Lupar,61,06,12,6106,610612
Batang Masumai,15,02,12,1502,150212
Batang Merangin,15,01,07,1501,150107
Batang Natal,12,13,13,1213,121313
Batang Onang,12,20,07,1220,122007
Batang Peranap,14,02,14,1402,140214
Batang Serangan,12,05,19,1205,120519
Batang Toru,12,03,02,1203,120302
Batang Tuaka,14,04,11,1404,140411
Batangan,33,18,07,3318,331807
Batanghari,18,07,06,1807,180706
Batanghari Nuban,18,07,13,1807,180713
Batani,95,02,26,9502,950226
Batanta Selatan,92,05,25,9205,920525
Batanta Utara,92,05,20,9205,920520
Batauga,74,15,01,7415,741501
Batealit,33,20,05,3320,332005
Batee,11,07,03,1107,110703
Bathin II Pelayang,15,08,15,1508,150815
Bathin III,15,08,11,1508,150811
Bathin III Ulu,15,08,14,1508,150814
Bathin Solapan,14,03,16,1403,140316
Bathin VIII (Batin VIII),15,03,08,1503,150308
Bati Bati,63,01,05,6301,630105
Batik Nau,17,03,11,1703,170311
Batin II Babeko (Bathin),15,08,10,1508,150810
Batin XXIV,15,04,04,1504,150404
Batipuah Selatan (Batipuh Selatan),13,04,14,1304,130414
Batipuh,13,04,02,1304,130402
Batom,95,02,05,9502,950205
Batu,35,79,01,3579,357901
Batu Aji,21,71,12,2171,217112
Batu Ampar,61,12,05,6112,611205
Batu Ampar,63,01,09,6301,630109
Batu Ampar,64,08,17,6408,640817
Batu Ampar,21,71,02,2171,217102
Batu Ampar,62,07,09,6207,620709
Batu Atas,74,15,04,7415,741504
Batu Benawa,63,07,02,6307,630702
Batu Brak,18,04,10,1804,180410
Batu Engau,64,01,09,6401,640109
Batu Hampar,14,07,12,1407,140712
Batu Ketulis,18,04,21,1804,180421
Batu Lanteh (Batulanteh),52,04,07,5204,520407
Batu Layar,52,01,14,5201,520114
Batu Licin (Batulicin),63,10,01,6310,631001
Batu Mandi,63,11,04,6311,631104
Batu Putih,64,03,12,6403,640312
Batu Putih,53,02,14,5302,530214
Batu Putih,74,08,03,7408,740803
Batu Putih,18,12,09,1812,181209
Batu Sopang,64,01,01,6401,640101
Batuan,35,29,26,3529,352926
Batuceper,36,71,03,3671,367103
Batudaa,75,01,03,7501,750103
Batudaa Pantai,75,01,05,7501,750105
Batudaka,72,09,11,7209,720911
Batui,72,01,01,7201,720101
Batui Selatan,72,01,15,7201,720115
Batujajar,32,17,09,3217,321709
Batujaya,32,15,08,3215,321508
Batukara,74,03,34,7403,740334
Batukliang,52,02,03,5202,520203
Batukliang Utara,52,02,12,5202,520212
Batulappa (Batu Lappa),73,15,12,7315,731512
Batumarmar,35,28,11,3528,352811
Batununggal,32,73,12,3273,327312
Batupoaro,74,72,08,7472,747208
Batuputih,35,29,17,3529,352917
Batur,33,04,16,3304,330416
Baturaja Barat,16,01,13,1601,160113
Baturaja Timur,16,01,14,1601,160114
Baturetno,33,12,07,3312,331207
Baturiti,51,02,09,5102,510209
Baturraden (Baturaden),33,02,22,3302,330222
Batuwarno,33,12,04,3312,331204
Baula,74,01,12,7401,740112
Baureno,35,22,10,3522,352210
Bawang,33,04,05,3304,330405
Bawang,33,25,05,3325,332505
Bawen,33,22,11,3322,332211
Bawolato,12,04,11,1204,120411
Baya Biru,94,03,19,9403,940319
Bayah,36,02,03,3602,360203
Bayan,33,06,08,3306,330608
Bayan,52,08,04,5208,520804
Bayang,13,01,06,1301,130106
Bayat,33,10,04,3310,331004
Bayongbong,32,05,17,3205,320517
Bayung Lencir,16,06,09,1606,160609
Bebandem,51,07,06,5107,510706
Beber,32,09,13,3209,320913
Bebesen,11,04,03,1104,110403
Beduai (Beduwai),61,03,06,6103,610306
Bejen,33,23,18,3323,332318
Beji,32,76,06,3276,327606
Beji,35,14,13,3514,351413
Bekasi Barat,32,75,02,3275,327502
Bekasi Selatan,32,75,04,3275,327504
Bekasi Timur,32,75,01,3275,327501
Bekasi Utara,32,75,03,3275,327503
